name,address,phonenumber,email
Dial Travel Bureau Limited,"22, Ohaeto street by Sovida Hotel, Port Harcourt, Rivers, Nigeria","08033014249,08097737030,08035524400",https://dialtravels.com
Domival Travel Services Limited,"94, Obafemi Awolowo Way, Ikeja, Lagos Nigeria","0706 055 0731,0809 555 2424",http://www.domival.com/main/
Dee3concepts Travels,"No 33, Dipo Dina International Stadium, GRA, Ijebuode, Ogun Nigeria","0806 549 1050,0807 120 0017",https://dee3conceptstravels-25.webself.net/
ATS Travels Nigeria Limited,"2nd Floor, 15, King George V Road Onikan, Ikoyi, Lagos","08023131101,01-8770582,01-2805056",http://www.atstravels.com
Olabisi Onabanjo University Teaching Hospital,"P.M.B. 2001, Sagamu, Sagamu, Ogun, Nigeria","0816 370 1056,0816 370 1057,0816 370 1700",https://oouth.com/
Riders for Health Nigeria,"Plot 54, 4th Avenue, Gwarinpa, Abuja FCT",0811 959 8151,https://www.riders.org/
Medicaid Radiology Limited,"2 Libreville street opp. Etisalat office, Off Aminu Kano Crescent, Wuse Zone 2, Abuja Nigeria",0703 004 4300,http://www.medicaidradiology.com/
Me Cure Healthcare Limited,"Plot 6, Block H, Oshodi Industrial Scheme, Debo Industrial Compound, Oshodi, Lagos, Nigeria","0708 564 5606,0708 999 1192,0811 009 5954",https://mecure.com.ng/
Mbanefo Hospital,"5 Burxtin Paints Road, Off Kilometre 2, Enugu-Onitsha Expressway By NECICO Filling Station, Trans-Ekulu, Enugu, Nigeria","0810 020 5594,0813 266 5956",http://www.mbanefoenugufertilitycentre.com/
May & Baker Nigeria Plc,"3/5 Sapara Street, Industrial Estate, Ikeja, Lagos Nigeria","0811 368 1447,0906 437 3040",https://may-baker.com/
Malbo Pharmacy & Stores,"Malbo Pharmacy & Stores Suite D1, Wing D, 2XL Mall Road 11, Off First Avenue Housing Estate, Gwarinpa, Abuja Nigeria","0704 438 9611,09 9211236",https://www.m-medix.com/
Education as a Vaccine,"Behind Glisten Academy, Cadastral Zone B08, Plot 1531/1534, Jahi District, Abuja FCT Nigeria","0909 628 9694,0807 854 6318",https://www.evanigeria.org/
El-Hanan Ventures Limited,"5, Mahathma Gandi St, Plot 208 Shehu Shagari way, Bullet Garden, Asokoro, Abuja FCT Nigeria","+234 803 311 1628,+234 803 407 1646",http://www.el-hanan.com
Emzor Pharmaceuticals Ltd.,"Plot 3c Block A, Aswani Market Road, Oshodi / Isolo Expressway, Oshodi, Lagos, Nigeria","0810 348 3022,0802 565 9116,0708 060 6000",https://www.emzorpharma.com/
Centre for Family Health Initiative,"Plot 506 Excellence and Friends Road Off Arab Road, Kubwa Extension II, Abuja Nigeria","0809 608 3336,0809 608 3359,0809 049 2227",https://www.cfhinitiative.org/
Center for Advanced Specialty Surgery,"Plot 412/415 Works Layout, IMSU Junction, Owerri, Imo Nigeria","0703 122 7100,0803 1808 880",https://cassurgery.com/
Bill & Melinda Gates Foundation,"43 Agadez Crescent off Aminu Kano Crescent, Wuse II District, Abuja Federal Capitol Territory Nigeria",+234 9 462 8410,https://www.gatesfoundation.org/
Anavara,"Plot 44 Opebi Road, Ikeja, Lagos  Nigeria","0701 998 9000,070199 89003,01 2933160",https://anavara.com/NG/Index
Saima Nigeria,"11B Burma Road, Apapa, Lagos","0814 568 8875,0806 360 7187",
Ostar-Ken International Company,"Plot 18 Wey Street, Mushin, Lagos Nigeria",0813 761 3453,
Alpha Pharmacy,"2B Alabi Street, Ikeja, Lagos Nigeria","0813 404 1020,0809 844 0862,01 2951804",https://alphapharmacy.com.ng
Safe Motorway,"Suite A69,3rd Floor, Zenith Bank Wing,Area 11 Shopping Mall, Garki Abuja, FCT","0703 896 0686,0902 301 8519",
NoblePat Group,"40/41 Road, Festac Town, Lagos, Nigeria","0817 757 7990,0817 757 8886,01 730 4302",
Mushilab Nigeria Limited,"Trailer Park, Behind Madojutimi Restaurant, Off Abiola Way, Abeokuta, Ogun State, Nigeria","0803 334 3205,0903 800 4685,0703 041 9178",
Marvel Transport,"Marvel Transport, lkeja, Lagos Nigeria",0703 830 1822,
Maids To Run Services,"1olayiwola street new OKO oba BESIDE NNPC filling station, Abule-egba, Lagos, Lagos","0704 933 3009,0903 600 2364",
LAGBUS,"Tisco Plaza 6 Ashabi Cole Street, CBD, Alausa Ikeja, Lagos State, Nigeria",+234 702 652 4287,
Faith Motors,"135, Akpakpava Road by Second East Circular Junction, Benin City, Edo State Nigeria.","0806 409 9501,0807 159 1479,0818 618 4488",
Ekili Haulage,"82, Bode Thomas Street, Surulere, Lagos, Nigeria",01 892 8416,
Blue Cheetah Services,"35, Oguntona Crescent, Gbagada Phase 1, Gbagada, Lagos","0703 388 3980,0802 544 7658",
Ammire Haulage,"Ammire Haulage, Lagos, Nigeria","0700 5000 5000,0803 311 8235",
Alibe & Sons Transport Company,"Plot 251 Apapa Road, Bayelsa Property Compound, ljora 7up, Lagos Nigeria",0802 378 6351,
Transport Services Limited,"Plot 26, Block M, Apapa-Oshodi Expressway, Isolo Industrial Scheme, Lagos, Nigeria","0805 749 3806,01 628 3972,01 896 2609",https://tsllimited.com/
Total Logistics Executive Ryde Ltd,"Suite 302, 12 Cape Town Street, Off IBB Way, Zone 4 Wuse, Abuja FCT, Nigeria","09 292 1164,0818 765 1206,0806 003 4670",https://totallogisticsryde.ng/
Toron Nigeria Limited,"Plot 83/95, Ago Palace Way, Okota, Lagos, Nigeria","08184480632,08056006227",http://www.toronnigeria.net/
Metro Ferry,"Plot 983A Saka Jojo Street, Off idejo street Adeola Odeku, Victoria Island, Lagos Nigeria","0702 9611026,0702 961 1026,01 461 9636",https://www.metro-ferry.com/
Mediterranean Shipping Company Nigeria Limited,"41, Creek Road, Apapa, Lagos, Nigeria",09093999601,https://www.msc.com/nga
G.U Okeke & Sons Limited,"KM 12, Onitsha/Enugu Expressway, Onitsha-Metro, Onitsha, Anambra, Nigeria","08075090611,08150647907,08075090620",https://www.guotransport.com/
Akwa Mass Transit Company,"Itam Industrial Layout, Uyo Capital Teritory, Akwa Ibom State, Nigeria","0902 060 6774,0701 684 2202,0802 341 2828",https://nsikmotors.com/
ASTAC Nigeria Limited,"50/52 ,Toyin Street, Alphon House, Ikeja, Lagos Nigeria","0803 456 8772,0806 223 3995",https://www.astac-nigeria.com/
The Express News,"18, Moloney Street (4th floor), Onikan, Lagos Island, Lagos Nigeria","0818 333 6818,0802 314 4957",
Glam Code Media,"52 Powerline street, abalawa, kola bus stop, Alagbado, Lagos",+234 806 466 2905,
Brandwork Nigeria,"62, Lanre Awolokun Street, Gbagada, Lagos State, Nigeria",+234 704 621 4497,
TVC News,"1 Continental Way, Ikosi, Ketu, Lagos State, Nigeria","0708 066 8000,0708 066 8001",https://tvcnews.tv/
TheNiche Newspaper,"1A Agbareh Close, behind Best Western Hotel, Off Allen Avenue, Off Bamishile Street, Allen Avenue, Ikeja, Lagos State, Nigeria","08023515775,08094000031",https://www.thenicheng.com/
Technology Times Media Limited,"9, Olufunmilola Okikiolu Street, Off Toyin Street, Ikeja, Lagos State, Nigeria",01 454 1818,https://technologytimes.ng/
The Sun Newspaper,"2 Coscharis Street, Kirikiri Industrial Layout, Apapa, Lagos State Nigeria","0805 633 4351,01 621 1239,01 898 0932",https://www.sunnewsonline.com/
Secret Reporters News,"Secret Reporters News, Lagos, Nigeria","0805 317 7777,0802 205 0733,0805 3177777",https://secretsreporter.com/
Peculiar Magazine,"lekki-epe expressway, Lekki, Lagos State, Nigeria",+234 810 500 5000,http://www.peculiarmagazine.com
Nigerian Television Authority (NTA),"Area 11  Oppisite Radio House, Garki, Abuja FCT, Nigeria",09 234 1020,https://www.nta.ng/
New Nigerian Newspaper Limited,"4/5, Ahmadu Bello Way, Kaduna North, Kaduna State, Nigeria","0803 615 1922,06 224 5220",https://newnigeriannewspaper.com/
New Mail Nigeria,"19 Yaya Abatan Street, Ogba, Lagos State, Nigeria","0704 385 4302,0809 819 6757",https://newmail-ng.com/
Live from Naija,"Live from Naija, Lagos City, Lagos State, Nigeria","0703 848 0011,0905 685 3333",https://www.livefromnaija.com/
EntrepreNews,"6th Floor, 294 Herbert Macaulay Way, Yaba, Lagos Nigeria","0803 447 5477,0815 096 5876,0909 386 4857",http://entrepre-news.com/
Unique Empowerment & Employment Initiative,"Unic Foundation Building, KM 10 Lasu-Isheri Road  Olowonla Bus Stop, Igando, Lagos, Nigeria, ","0704 623 2396,0813 273 3378",
Unemployment Solution Initiative,"7B, Oyo Road, Off Ring Road, Ibadan, Oyo State Nigeria","0812 489 4939,0819 054 7651",
The Seagenite Initiative,"Plot 241 Obari Plaza, Abuloma Road, Trans-Amadi Port Harcourt, Rivers Nigeria",0813 399 2139,
PeoplePrime,"56B Isaac John Street, Ikeja GRA, Lagos Nigeria","0802 355 5261,0803 373 6471,01 791 1639",
Pan-Nigerian National Employment Database Initiative,"1 Bayelsa State Gateway Boulevard, Polaku-Taylor Creek Roundabout Point, Igbogene, Yenagoa, Nigeria",0803 297 6618,
NairaJobNet,"12 Majaro Street, By Unilag Second Gate, Onike, Yaba, Lagos Nigeria","0706 493 9411,0706 493 8545",
Kanclems I-Tech Int'l Employment Agency,"No. 56 Okaka Road Opp. BDGS Okaka-Epie, Yenagoa, Bayelsa State Nigeria","0703 850 7101,0813 603 7357",
Anyworknaija,"17 Ibikunle st. off Herbert macaulay, Yaba, Lagos",0701 336 0604,
5K Jobber,"6B Hunponu Wusu Road, Lekki, Lagos Nigeria","0806 814 8300,0706 239 0239",
Patfam Investment Limited,"2A, Beecroft Street, Close to Igbosere High Court, Lagos Island, Lagos Nigeria","0802 381 7484,0809 823 9866",https://www.patfam.com/
Jetheights Venture & Service Ltd,"No 9, Animashaun Street, Ring Road, Ibadan, Oyo State Nigeria",0704 550 5614,http://jetheights.com/
Employment Nigeria,"Online Job Directory, Lagos Mainland, Lagos",0818 219 3596,https://www.employmentnigeria.com/
Binary Consulting Limited,"18, Akanbi Danmola Street, SouthWest Ikoyi, Lagos Nigeria","0805 606 3174,01 463 0842",http://www.binaryconsultltd.com/
JobNetworkNigeria,"Odua Shopping Complex, Ojota, Lagos",0802 307 2968,https://www.jobnetworknigeria.com/
Job List Nigeria,"Lagos, Lagos Mainland, Lagos Nigeria","0810 159 1164,0817 173 0797",https://joblistnigeria.com/
Jobberman,"15th Floor, Elephant Bu ,214 Broad Street, Marina, Lagos Island, Lagos, Nigeria","0813 985 9999,0708 104 3459",https://www.jobberman.com/
Eversharpmaster Idumota,"No 7/9, Ibomo Street, Off Agarawu Street, Lagos Island, Lagos Nigeria","0803 393 0979,0818 236 2008",
Gmicord Industrial Group,"Plot C, 4/62, Onitsha Road Industrial Layout, Owerri, Imo State Nigeria","+234 803 724 1441,+234 803 540 6485,+234 810 130 6442",
Geotextile & Gabions Limited,"No.9, Challawa Crescent,  Near Danbo International School, Barnawa, Kaduna Nigeria","0802 065 7472,0805 171 3720,0803 660 2444",
Denna Rossi Ltd,"8A Circular Road GRA Phase 2, Port Harcourt, Rivers State Nigeria","+234 803 338 0261,+234 84 302 359",
Clay Industry Nigeria Limited,"Oregun Industrial Estate, Ikeja, Lagos Nigeria","+234 816 622 5888,+234 909 461 7434,+234 811 777 0100",
Cejex Designs Limited,"Eastline Shopping Complex, Block C1 Unit 8, Ajah, Lagos State",+234 808 110 0605,
Association of Cottage Industrialists of Nigeria,"12, A.E. Ekunkinam Street, FOMWAN Building, Opp. Chisco Transports, Utako Abuja, FCT","0806 657 1776,0909 822 1733,0704 815 9247",
Association of Cottage Industrialists of Nigeria,"12. Plot 51, Ubiaja Cr escent Opp. CBN Snr Staff Qtrs,Off Oladoke Akintola Boulevard, Garki 2, FCT, Abuja.","+234 909 822 1733,+234 806 657 1776,+234 138 282 083",
Wichtech Industries Limited,"5 Wema Terrace 2-9 Udi Street, Ikoyi, Lagos Nigeria","+234 810 300 2000,+234 803 312 6151,+234 805 862 8890",https://wichtech.com/
Alumaco Plc,"Technical Floor, Bolingo Hotels & Tower, Muhammadu Buhari Way, Central Business District, Abuja FCT Nigeria","+234 709 810 9039,+234 709 876 7032",
Annuri International Ltd Sokoto Factory,"No. 169 Sultan Abubakar Road, Mabera, Sokoto State, Nigeria",0805 488 2488,
Zeenab Foods Ltd Lagos,"No 2, Tunde Gafar Close, off Adeniyi Jones, Ikeja, Nigeria",0809 346 7008,https://zeenabfoods.com
Tranos,"No 22A Guinness Road, Off Acme Road, Ogba, Ikeja, Lagos, Nigeria",01 271 7120,https://www.tranos.ng/
Jotna Nigeria Limited,"No 12, Akinwande Street, Off Badagry Expressway, Alaba-Coker, Lagos",01 903 3905,https://jotna.com
Jacobs Wines Ltd,"1 Frank Jacobs Avenue, Mgbidi Oru-West LGA, Imo State Nigeria","+234 803 793 9113,+234 803 332 9967",https://www.jacobswines.com/
International Merchants Ltd,"No 26 Ayinde Giwa Street, Surulere, Lagos Nigeria","+234806 615 1588,+234803 301 0918,+234803 407 1222",https://imlnigerialtd.com/
Daily - Need Industries Limited,"Plots 9 & 10, Unity Close, Off Ladipo Street, Oshodi Scheme Industrial Estate, Lagos State, Nigeria","0815 703 0529,01 266 5244",https://dailyneedgroup.com/
BAGCO,"47/48, Sharada Industrial Estate Phase 3, Kano, Kano State, Nigeria","0815 909 4307,0704 516 7343",https://bagco-ng.com/
Comvicong Nigeria Company,"No 48, Iseyin Street Palmgrove, Ilupeju, Lagos",0808 043 8367,https://comvicong1.en.ec21.com/company_info.jsp
VGC Recreation Club,"Road 22A, Victoria Garden City, Lekki, Lagos Nigeria","0704 509 0690,0704 530 0875",
Sukur Cultural Landscape,"Mubi-Maidugur Road, Adamawa State, Nigeria",0802 846 4341,
Shodex Gardens,"251/253, Ikorodu Road, Anthony Ikeja, Lagos Nigeria","0808 044 6941,0909 476 4571",
Rojenny Tourist And Game Village Oba,"KM 11, Onitsha/Owerri Road, Oba, Onitsha, Anambra State Nigeria",0803 341 2712,
"Rock Art Interpretive Centre, Birnin Kudu","Kano-Bauchi Road, Jigawa State, Nigeria","0803 250 2007,0805 236 5636",
Olumo Rock,"Olumo Rock Tourist Complex, Ikija, Near Itoku Adire Market, Abeokuta, Ogun State, Nigeria","0803 813 3580,0806 642 9002",
Ikogosi Warm Spring,"Kilometer 1, Ipole Iloro Efon Alaaye Road, Ikogosi Ekiti, Ekiti State Nigeria","+234 806 780 0244,+234 814 545 1181",
First Click Nigeria Limited,"1, Orok Orok Street, Calabar, Cross Rivers, Nigeria",08038983878,
Ibadan Golf Resort,"Onireke Reservation Area UI, Ibadan, Oyo State Nigeria","0809 930 7788,0818 111 6667",
Centre for Earth Construction Technology,"Opposite Jos Museum, Jos, Plateau State Nigeria",0803 613 8957,
Nelson Mandela Gardens,"Inside Asaba International Airport, Off Asaba-Benin Expressway, Asaba, Delta State Nigeria","0816 578 7860,0803 286 5564",https://www.nelsonmandelagardens.com.ng
Hephzibah and Beulah Farms,"University of Ibadan Post Office, Ibadan, Oyo State Nigeria",0813 159 8229,
Groot Nigeria,"18, Afolabi Aina Street, Off Allen Avenue, Ikeja, Lagos Nigeria",0803 818 2292,
Gabel Integrated Services and Farms,"Burma Road, Apapa, Lagos",+234 908 618 3783,
EL Probitas Limited,"10, Afolabi Lesi Street, Illupeju, Lagos, Nigeria","0803 300 8319,0805 514 9155,0805 527 7189",
Fubison Rice,"8 Echendu close off ykc junction, Woji Port Harcourt, Rivers",08095685467,
Deejoft Agribusiness Consults,"No 68,Iwo Road Opposite Ibadan North East Secretariat, Ibadan, Oyo State",0813 060 0192,
Farmers' Corner,"1 Daranijo Street, Off Wemco Road, Ogba Ikeja, Lagos Nigeria","0802 757 9905,0805 650 4552,0803 425 0158",
De-phoenix Generale,"Dephoenix Generale, c/o Francis Philips & Co, Wing B, Entrance 1, 2nd Floor,, Tafawa Balewa Square, Lagos Nigeria",+234 703 273 1919,
Aniibol Agro Allied Services,"Sagilogbe Area, Orire LGA, Ogbomosho, Oyo State, Nigeria","+234 701 307 5825,+234 701 307 5824",
Adroit Agro and Livestock Ltd,"Araromi Ale LCDA, Phase 2, Lagos-Badagry Expressway, Lagos Nigeria","+234 818 004 2892,+234 809 174 6469,+234 806 029 1223",
Tuns Farms Nigeria Limited,"Km 9 New Ikirun Road, Osogbo, Osun State Nigeria","+234 807 778 8867,+234 805 749 6095,+234 805 749 6012",https://tunsinter.com/
Jevant Spencer Agricultural Services,"Orosi House, 1st Floor, 28 Forces Avenue, Old G.R.A. Port Harcourt, Rivers State Nigeria","+234 701 812 3784,+234 909 653 2642",https://jevantspencer.com/agriculture-machinery-in-nigeria/
Osakue Agricultural Services,"No. 6 Omorodion Avenue, Off Adewusa Road beside Phelim Primary School, After Vibes FM, GRA, Benin City, Edo Nigeria","0816 822 9263,0816 630 5148,0805 586 9197",https://osakueagribiz.sitesng.com/
Hastom Nigeria,"Suite 17 & 18 Ajagungbade Plaza, High Court Road, Ogbomoso, Oyo State Nigeria","0816 301 3001,0806 031 8769",https://hastomnigeria.com/
Folawiyo Farms,"Yinka Folawiyo Plaza, 38 Yinka Folawiyo Avenue, Apapa, Lagos Nigeria","+234 1 280 5432,+234 1 280 5433",https://yinkafolawiyogroup.com
AgroNigeria,"3rd Floor, Wuraola House, 82, Allen Avenue,, Ikeja, Lagos Nigeria","0809 778 2665,0803 332 1575,0809 920 7555",https://agronigeria.ng/
